"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"50 to 661","Range of Values",6373,6373,NA
".","Missing",544,6917,NA
