"BPQ050A.Code.or.Value","BPQ050A.Value.Description","BPQ050A.Count","BPQ050A.Cumulative","BPQ050A.Skip.to.Item"
"1","Yes",1671,1671,NA
"2","No",220,1891,NA
"7","Refused",0,1891,NA
"9","Don't know",1,1892,NA
".","Missing",4654,6546,NA
