"URXOP6.Code.or.Value","URXOP6.Value.Description","URXOP6.Count","URXOP6.Cumulative","URXOP6.Skip.to.Item"
"0.07 to 2.96","Range of Values",2425,2425,NA
".","Missing",80,2505,NA
