"DR1TNIAC.Code.or.Value","DR1TNIAC.Value.Description","DR1TNIAC.Count","DR1TNIAC.Cumulative","DR1TNIAC.Skip.to.Item"
"0.215 to 379.852","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
