"SMQ666C.Code.or.Value","SMQ666C.Value.Description","SMQ666C.Count","SMQ666C.Cumulative","SMQ666C.Skip.to.Item"
"1","Regulars",5,5,NA
"2","Lights",9,14,NA
"3","Ultralights",0,14,NA
"7","Refused",0,14,NA
"9","Don't know",0,14,NA
".","Missing",6744,6758,NA
