"DXDSTBMD.Code.or.Value","DXDSTBMD.Value.Description","DXDSTBMD.Count","DXDSTBMD.Cumulative","DXDSTBMD.Skip.to.Item"
"0.467 to 1.813","Range of Values",4445,4445,NA
".","Missing",1247,5692,NA
