"DXXANFM.Code.or.Value","DXXANFM.Value.Description","DXXANFM.Count","DXXANFM.Cumulative","DXXANFM.Skip.to.Item"
"102.9 to 7106.1","Range of Values",5589,5589,NA
".","Missing",1304,6893,NA
