"VTQ261A.Code.or.Value","VTQ261A.Value.Description","VTQ261A.Count","VTQ261A.Cumulative","VTQ261A.Skip.to.Item"
"1","Yes",110,110,""
"2","No",2807,2917,"VTQ271A"
"7","Refused",0,2917,"VTQ271A"
"9","Don't know",7,2924,"VTQ271A"
".","Missing",470,3394,""
