"MCQ150Q.Code.or.Value","MCQ150Q.Value.Description","MCQ150Q.Count","MCQ150Q.Cumulative","MCQ150Q.Skip.to.Item"
"0 to 180","Range of Values",3237,3237,NA
"77777","Refused",0,3237,NA
"99999","Don't know",7,3244,NA
".","Missing",6249,9493,NA
