"SMQ050U.Code.or.Value","SMQ050U.Value.Description","SMQ050U.Count","SMQ050U.Cumulative","SMQ050U.Skip.to.Item"
"1","Days",9,9,NA
"2","Weeks",11,20,NA
"3","Months",91,111,NA
"4","Years",1148,1259,NA
"7","Refused",0,1259,NA
"9","Don't know",0,1259,NA
".","Missing",5531,6790,NA
