"DR1TWS.Code.or.Value","DR1TWS.Value.Description","DR1TWS.Count","DR1TWS.Cumulative","DR1TWS.Skip.to.Item"
"1","Community supply",6141,6141,NA
"2","Well or rain cistern",913,7054,NA
"3","Spring",53,7107,NA
"4","Don't drink tap water",2312,9419,NA
"91","Other",2,9421,NA
"99","Don't know",395,9816,NA
".","Missing",437,10253,NA
