"RFXT166.Code.or.Value","RFXT166.Value.Description","RFXT166.Count","RFXT166.Cumulative","RFXT166.Skip.to.Item"
"1450 to 1459","Range of Values",51049,51049,NA
".","Missing",27,51076,NA
