"OSQ180.Code.or.Value","OSQ180.Value.Description","OSQ180.Count","OSQ180.Cumulative","OSQ180.Skip.to.Item"
"2 to 101","Range of Values",293,293,NA
"777","Refused",0,293,NA
"999","Don't know",7,300,NA
".","Missing",5635,5935,NA
