"URD14DLC.Code.or.Value","URD14DLC.Value.Description","URD14DLC.Count","URD14DLC.Cumulative","URD14DLC.Skip.to.Item"
"0","At or above the detection limit",2577,2577,NA
"1","Below lower detection limit",27,2604,NA
".","Missing",114,2718,NA
