"BPQ040A.Code.or.Value","BPQ040A.Value.Description","BPQ040A.Count","BPQ040A.Cumulative","BPQ040A.Skip.to.Item"
"1","Yes",1937,1937,""
"2","No",284,2221,"BPQ057"
"7","Refused",0,2221,"BPQ057"
"9","Don't know",0,2221,"BPQ057"
".","Missing",4668,6889,""
