"DR2TP182.Code.or.Value","DR2TP182.Value.Description","DR2TP182.Count","DR2TP182.Cumulative","DR2TP182.Skip.to.Item"
"0 to 101.004","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
