"WBXF019.Code.or.Value","WBXF019.Value.Description","WBXF019.Count","WBXF019.Cumulative","WBXF019.Skip.to.Item"
"629.9605 to 629.9605","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
