"RFXC107.Code.or.Value","RFXC107.Value.Description","RFXC107.Count","RFXC107.Cumulative","RFXC107.Skip.to.Item"
"-8.089 to 5.349","Range of Values",51059,51059,NA
".","Missing",17,51076,NA
