"WBXF046.Code.or.Value","WBXF046.Value.Description","WBXF046.Count","WBXF046.Cumulative","WBXF046.Skip.to.Item"
"1373.9536 to 1373.9536","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
