"LBDVSTLC.Code.or.Value","LBDVSTLC.Value.Description","LBDVSTLC.Count","LBDVSTLC.Cumulative","LBDVSTLC.Skip.to.Item"
"0","Detectable Result",268,268,NA
"1","Below Detectable Limit",15,283,NA
"2","Detectable Result and Exceeds the Calibrated Range of 
      Assay",1,284,NA
".","Missing",567,851,NA
