"LBXVBF.Code.or.Value","LBXVBF.Value.Description","LBXVBF.Count","LBXVBF.Cumulative","LBXVBF.Skip.to.Item"
"0.7071 to 540","Range of Values",3016,3016,NA
".","Missing",529,3545,NA
