"RFXT101.Code.or.Value","RFXT101.Value.Description","RFXT101.Count","RFXT101.Cumulative","RFXT101.Skip.to.Item"
"876 to 884","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
