"DR2TZINC.Code.or.Value","DR2TZINC.Value.Description","DR2TZINC.Count","DR2TZINC.Cumulative","DR2TZINC.Skip.to.Item"
"0 to 269.2","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
