"MCQ240BB.Code.or.Value","MCQ240BB.Value.Description","MCQ240BB.Count","MCQ240BB.Cumulative","MCQ240BB.Skip.to.Item"
"20 to 58","Range of Values",8,8,NA
"85","85 years or older",0,8,NA
"77777","Refused",0,8,NA
"99999","Don't know",0,8,NA
".","Missing",9814,9822,NA
