"URXOAV.Code.or.Value","URXOAV.Value.Description","URXOAV.Count","URXOAV.Cumulative","URXOAV.Skip.to.Item"
"45 to 1339","Range of Values",8179,8179,NA
".","Missing",412,8591,NA
