"TYXA013.Code.or.Value","TYXA013.Value.Description","TYXA013.Count","TYXA013.Cumulative","TYXA013.Skip.to.Item"
"0.125 to 6.627","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
