"LBXNEPCT.Code.or.Value","LBXNEPCT.Value.Description","LBXNEPCT.Count","LBXNEPCT.Cumulative","LBXNEPCT.Skip.to.Item"
"5.3 to 92.1","Range of Values",8250,8250,NA
".","Missing",1057,9307,NA
