"URDEPBLC.Code.or.Value","URDEPBLC.Value.Description","URDEPBLC.Count","URDEPBLC.Cumulative","URDEPBLC.Skip.to.Item"
"0","At or above the detection limit",1098,1098,NA
"1","Below lower detection limit",1391,2489,NA
".","Missing",105,2594,NA
