"DS2TSFAT.Code.or.Value","DS2TSFAT.Value.Description","DS2TSFAT.Count","DS2TSFAT.Cumulative","DS2TSFAT.Skip.to.Item"
"0.023 to 6","Range of Values",141,141,NA
".","Missing",9197,9338,NA
