"ORXH42.Code.or.Value","ORXH42.Value.Description","ORXH42.Count","ORXH42.Cumulative","ORXH42.Skip.to.Item"
"1","Positive",7,7,NA
"2","Negative",4717,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
