"DS1TNIAC.Code.or.Value","DS1TNIAC.Value.Description","DS1TNIAC.Count","DS1TNIAC.Cumulative","DS1TNIAC.Skip.to.Item"
"0.3 to 2450","Range of Values",1299,1299,NA
".","Missing",8039,9338,NA
