"FSDAD.Code.or.Value","FSDAD.Value.Description","FSDAD.Count","FSDAD.Cumulative","FSDAD.Skip.to.Item"
"1","AD full food security: 0",5717,5717,NA
"2","AD marginal food security: 1-2",1499,7216,NA
"3","AD low food security: 3-5",1417,8633,NA
"4","AD very low food security: 6-10",996,9629,NA
".","Missing",342,9971,NA
