"CBQ610.Code.or.Value","CBQ610.Value.Description","CBQ610.Count","CBQ610.Cumulative","CBQ610.Skip.to.Item"
"1","Yes",793,793,NA
"2","No",1312,2105,NA
"7","Refused",0,2105,NA
"9","Don't know",1,2106,NA
".","Missing",839,2945,NA
