"SSCMVOD.Code.or.Value","SSCMVOD.Value.Description","SSCMVOD.Count","SSCMVOD.Cumulative","SSCMVOD.Skip.to.Item"
"0.078 to 3.001","Range of Values",4128,4128,NA
".","Missing",0,4128,NA
