"KIQ052.Code.or.Value","KIQ052.Value.Description","KIQ052.Count","KIQ052.Cumulative","KIQ052.Skip.to.Item"
"1","Not at all,",1201,1201,NA
"2","only a little,",394,1595,NA
"3","somewhat,",140,1735,NA
"4","very much, or",67,1802,NA
"5","greatly",27,1829,NA
"7","Refused",0,1829,NA
"9","Don't know",0,1829,NA
".","Missing",3940,5769,NA
