"DS2TLYCO.Code.or.Value","DS2TLYCO.Value.Description","DS2TLYCO.Count","DS2TLYCO.Cumulative","DS2TLYCO.Skip.to.Item"
"33 to 20300","Range of Values",470,470,NA
".","Missing",9343,9813,NA
