"PFQ061R.Code.or.Value","PFQ061R.Value.Description","PFQ061R.Count","PFQ061R.Cumulative","PFQ061R.Skip.to.Item"
"1","No difficulty",2190,2190,NA
"2","Some difficulty",307,2497,NA
"3","Much difficulty",102,2599,NA
"4","Unable to do",88,2687,NA
"5","Do not do this activity",184,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
