"OCQ540.Code.or.Value","OCQ540.Value.Description","OCQ540.Count","OCQ540.Cumulative","OCQ540.Skip.to.Item"
"0 to 78","Range of Values",1325,1325,NA
"7777","Refused",0,1325,NA
"9999","Don't know",5,1330,NA
".","Missing",5559,6889,NA
