"AUAEXSTS.Code.or.Value","AUAEXSTS.Value.Description","AUAEXSTS.Count","AUAEXSTS.Cumulative","AUAEXSTS.Skip.to.Item"
"1","Complete",2062,2062,NA
"2","Partial",170,2232,NA
"3","Not done",136,2368,NA
".","Missing",0,2368,NA
