"LBDSPHSI.Code.or.Value","LBDSPHSI.Value.Description","LBDSPHSI.Count","LBDSPHSI.Cumulative","LBDSPHSI.Skip.to.Item"
"0.71 to 2.196","Range of Values",6491,6491,NA
".","Missing",499,6990,NA
