"URXTTC.Code.or.Value","URXTTC.Value.Description","URXTTC.Count","URXTTC.Cumulative","URXTTC.Skip.to.Item"
"7.9 to 4460","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
