"DR2IMOIS.Code.or.Value","DR2IMOIS.Value.Description","DR2IMOIS.Count","DR2IMOIS.Cumulative","DR2IMOIS.Skip.to.Item"
"0 to 11508.48","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
