"DSDANCNT.Code.or.Value","DSDANCNT.Value.Description","DSDANCNT.Count","DSDANCNT.Cumulative","DSDANCNT.Skip.to.Item"
"0 to 2","Range of Values",9752,9752,NA
"77","Refused",4,9756,NA
"99","Don't know",0,9756,NA
".","Missing",0,9756,NA
