"DR2TPHOS.Code.or.Value","DR2TPHOS.Value.Description","DR2TPHOS.Count","DR2TPHOS.Cumulative","DR2TPHOS.Skip.to.Item"
"0 to 6256","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
