"SMQ050Q.Code.or.Value","SMQ050Q.Value.Description","SMQ050Q.Count","SMQ050Q.Cumulative","SMQ050Q.Skip.to.Item"
"1 to 90","Range of Values",1290,1290,NA
"66666","50 years or more",46,1336,NA
"77777","Refused",0,1336,NA
"99999","Don't know",11,1347,NA
".","Missing",5821,7168,NA
