"HOD160.Code.or.Value","HOD160.Value.Description","HOD160.Count","HOD160.Cumulative","HOD160.Skip.to.Item"
"1","Yes",215,215,""
"2","No",845,1060,"HOD190"
"7","Refused",0,1060,"HOD190"
"9","Don't know",5,1065,"HOD190"
".","Missing",8900,9965,""
