"DR2TS120.Code.or.Value","DR2TS120.Value.Description","DR2TS120.Count","DR2TS120.Cumulative","DR2TS120.Skip.to.Item"
"0 to 34.656","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
