"DXXNKA.Code.or.Value","DXXNKA.Value.Description","DXXNKA.Count","DXXNKA.Cumulative","DXXNKA.Skip.to.Item"
"2.85 to 7.38","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
