"DBD100.Code.or.Value","DBD100.Value.Description","DBD100.Count","DBD100.Cumulative","DBD100.Skip.to.Item"
"1","Rarely",2871,2871,NA
"2","Occasionally",1579,4450,NA
"3","Very often",941,5391,NA
"7","Refused",0,5391,NA
"9","Don't know",8,5399,NA
".","Missing",4414,9813,NA
