"FSD170N.Code.or.Value","FSD170N.Value.Description","FSD170N.Count","FSD170N.Cumulative","FSD170N.Skip.to.Item"
"0 to 6","Range of Values",9824,9824,NA
"7","7 or more",88,9912,NA
".","Missing",210,10122,NA
