"CDQ002.Code.or.Value","CDQ002.Value.Description","CDQ002.Count","CDQ002.Cumulative","CDQ002.Skip.to.Item"
"1","Yes",246,246,""
"2","No",697,943,"CDQ008"
"3","NEVER WALKS UPHILL OR HURRIES",95,1038,""
"7","Refused",0,1038,"CDQ008"
"9","Don't know",5,1043,"CDQ008"
".","Missing",2443,3486,""
