"LBXD05.Code.or.Value","LBXD05.Value.Description","LBXD05.Count","LBXD05.Cumulative","LBXD05.Skip.to.Item"
"62.15 to 11493.2","Range of Values",1894,1894,NA
".","Missing",380,2274,NA
