"WBXA029.Code.or.Value","WBXA029.Value.Description","WBXA029.Count","WBXA029.Cumulative","WBXA029.Skip.to.Item"
"-5.8863 to 0.9996","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
