"DR2TB12A.Code.or.Value","DR2TB12A.Value.Description","DR2TB12A.Count","DR2TB12A.Cumulative","DR2TB12A.Skip.to.Item"
"0 to 29.725","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
