"BPAARM.Code.or.Value","BPAARM.Value.Description","BPAARM.Count","BPAARM.Cumulative","BPAARM.Skip.to.Item"
"1","Right",7797,7797,NA
"2","Left",34,7831,NA
"8","Could not obtain",0,7831,NA
".","Missing",2422,10253,NA
