"DXXGYTOM.Code.or.Value","DXXGYTOM.Value.Description","DXXGYTOM.Count","DXXGYTOM.Cumulative","DXXGYTOM.Skip.to.Item"
"1995.6 to 31090.2","Range of Values",5094,5094,NA
".","Missing",686,5780,NA
