"URXMCP.Code.or.Value","URXMCP.Value.Description","URXMCP.Count","URXMCP.Cumulative","URXMCP.Skip.to.Item"
"0.4264 to 17.085","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
