"SSTTGR.Code.or.Value","SSTTGR.Value.Description","SSTTGR.Count","SSTTGR.Cumulative","SSTTGR.Skip.to.Item"
"NEG","NEG",1690,1690,NA
"POS","POS",2,1692,NA
"WKPOS","WKPOS",7,1699,NA
"< blank >","Missing",18,1717,NA
