"URDMB1LC.Code.or.Value","URDMB1LC.Value.Description","URDMB1LC.Count","URDMB1LC.Cumulative","URDMB1LC.Skip.to.Item"
"0","At or above the detection limit",26,26,NA
"1","Below lower detection limit",3143,3169,NA
".","Missing",148,3317,NA
