"DR2_040Z.Code.or.Value","DR2_040Z.Value.Description","DR2_040Z.Count","DR2_040Z.Cumulative","DR2_040Z.Skip.to.Item"
"1","Yes",85635,85635,NA
"2","No",34308,119943,NA
"7","Refused",4,119947,NA
"9","Don't know",0,119947,NA
".","Missing",924,120871,NA
