"RFXC084.Code.or.Value","RFXC084.Value.Description","RFXC084.Count","RFXC084.Cumulative","RFXC084.Skip.to.Item"
"-5.638 to 4.423","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
