"LBXH2RL.Code.or.Value","LBXH2RL.Value.Description","LBXH2RL.Count","LBXH2RL.Cumulative","LBXH2RL.Skip.to.Item"
"0 to 1895.7","Range of Values",1988,1988,NA
".","Missing",256,2244,NA
