"BMIARMC.Code.or.Value","BMIARMC.Value.Description","BMIARMC.Count","BMIARMC.Cumulative","BMIARMC.Skip.to.Item"
"1","Could not obtain",124,124,NA
".","Missing",9158,9282,NA
