"WHQ510A.Code.or.Value","WHQ510A.Value.Description","WHQ510A.Count","WHQ510A.Cumulative","WHQ510A.Skip.to.Item"
"10","I want to look better",134,134,NA
"77","Refused",0,134,NA
"99","Don't know",5,139,NA
".","Missing",1288,1427,NA
